STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
5022,09009911,3.80,2.25,,,,4,3,,,
5023,09009912,,5,,,,4.25,6.50,,,
5024,09009913,5.80,5.75,,,,9.25,9,,,
5025,09009914,,5.50,,,,6.75,7.50,,,
5026,09009915,,4.75,,,,5.75,7.25,9.25,,
5027,09009916,1.80,2.75,,,,2.25,5,4,3.80,N1
5028,09009917,,3,,,,7.50,5.75,,,
5029,09009918,,5.50,,,,3,5.75,,,
5030,09009919,2,2,,,,3,3.25,4.25,,
5031,09009920,,4.25,,,,4.25,7.50,,,
5032,09009921,8.40,6.25,,,,9,8.25,,,
5033,09009922,,4.25,,,,4,5.25,,,
5034,09009923,,6,,,,6,7.25,,,
5035,09009924,,5,,,,4.25,5,,,
5036,09009925,,4.50,,,,3.50,6.25,,,
5037,09009926,8.40,8,,,,9,8.50,,6.40,N1
5038,09009927,,5.25,,,,7,8.25,8,,
5039,09009928,1.80,5,,,,5.25,7.25,,,
5040,09009929,7,,5.25,4.75,,,,,,
5041,09009930,,7,,,,7.75,9,,,
5042,09009932,,6.25,,,,6.50,8.25,,,
5043,09009933,,6.50,,,,6.50,5,,,
5044,09009934,3,3.50,,,,7,6,8.50,4.20,N1
5045,09009935,,7,,,,5.50,7.75,,,
5046,09009936,,7,,,,9.50,9.75,,,
5047,09009937,3.20,5.50,,,,4.25,8,,,
5048,09009938,6.60,8.25,,,,,,,5.80,N1
5049,09009939,,7.50,,,,5,6,7.25,,
5050,09009940,6.60,,5.25,6.25,6.25,,,,4,N1
5051,09009941,,8.75,,,,8.50,9.50,,,
5052,09009942,,5.75,,,,7,7.75,,,
5053,09009943,,7.25,,,,7,7.75,,,
5054,09009945,8.20,8,,,,7.50,7.25,,,
5055,09009946,,6.50,,,,8.25,8.25,,,
5056,09009947,,4,,,,5,7,,,
5057,09009948,8.40,,9.25,9,2.50,,,,,
5058,09009949,9,,6.75,7.25,1.75,,,,,
5059,09009950,,7.50,,,,9,9.25,,,
5060,09009951,,5.50,,,,5,5.25,,,
5061,09009952,6.20,8,,,,8.25,8.50,8.25,,
5062,09009953,,4.50,,,,2.75,4.75,6,,
5063,09009954,7.80,,8,6.75,,,,,,
5064,09009955,,4.75,,,,6.50,6.75,,,
5065,09009956,,5,,,,4.50,7.50,,,
5066,09009957,2.60,4.75,,,,5,6.75,7.50,,
5067,09009958,,6.75,,,,5.75,6.25,,,
5068,09009960,,4.75,,,,4.50,4.50,,,
5069,09009961,5.40,5.25,,,,5.50,7.75,7.75,3.20,N1
5070,09009962,,3,,,,4,6,,,
5071,09009963,,5,,,,6,7.75,,,
5072,09009964,,1.50,,,,4.25,4,,,
5073,09009965,3.60,4.75,,,,,,8.50,,
5074,09009966,5.20,8,,,,,,,7.40,N1
5075,09009967,,6,,,,3,3.75,,,
5076,09009968,8.20,,,8.25,8.25,,,,,
5077,09009969,3.20,8,,,,8.50,8,9,,
5078,09009970,7,,6.50,4.75,4,,,,7.60,N1
5079,09009971,,6,,,,4.25,6.25,,,
5080,09009972,,6.50,,,,5.25,8.50,,,
5081,09009973,,3,,,,4,6,,,
5082,09009974,7.40,,7,7.25,,,,,,
5083,09009975,,6.25,,,,6.25,6.25,,,
5084,09009976,,7,,,,6,7.75,,,
5085,09009977,,5,,,,4,6.25,,,
5086,09009978,,2.25,,,,5.75,4.75,,,
5087,09009979,8,,6.75,6,,,,,,
5088,09009980,,2.25,,,,4.75,5.50,,,
5089,09009981,8,,8.25,,,,,,6.60,N1
5090,09009982,,4.50,,,,6.75,8.25,,,
5091,09009983,,5.25,,,,,,,,
5092,09009984,4.20,5,,,,5.50,7,,,
5093,09009985,,7,,,,7.75,7.50,,,
5094,09009986,,8,,,,9.50,9.50,9,,
5095,09009987,,5.75,,,,6.75,7,8,,
5096,09009988,6.80,,5.50,,,,,,4.60,N1
5097,09009989,7,,,6.25,6,,,,,
5098,09009990,8.20,,7.50,5.25,6.75,,,,,
5099,09009991,2.40,8,,,,,7.25,8.25,,
5100,09009992,,5.50,,,,3,6.75,,,
5101,09009993,,8,,,,7,7,,4.60,N1
5102,09009994,,8.50,,,,6.50,8.25,,,
5103,09009995,2.80,7.25,,,,7.50,8.50,,,
5104,09009997,,6,,,,8.25,8,,,
5105,09009998,,5.75,,,,8.25,6.75,,,
5106,09010000,6.40,,4,4.25,,,,,,
5107,09010002,5.40,6,3.75,4.75,5.50,,,,,
5108,09010005,,4.25,,,,6.25,6,,,
5109,09010006,,2.75,,,,2.25,4.50,,,
5110,09010008,7.40,,6.25,5.25,,,,,,
5111,09010009,3.20,7,,,,5,4.75,7.50,,
5112,09010010,,4.25,,,,4.25,6.25,,,
5113,09010011,,1.50,,,,2.50,4.50,,,
5114,09010012,,7.50,,,,9.75,8.50,,,
5115,09010014,7.40,7.25,,,,,,,7.20,N1
5116,09010015,7.20,8,,,,8.75,8.75,,4.40,N1
5117,09010016,,6.75,,,,9.75,9.75,,,
5118,09010017,6.20,6.50,,,,9.50,8.75,9.50,,
5119,09010018,5.60,,5.25,5,,,,,,
5120,09010019,3,5.50,,,,3.50,,,,
5121,09010020,4.40,,2.50,3.25,,,,,,
5122,09010021,,7,,,,,,,,
5123,09010022,,6.25,,,,9.75,9.25,,,
5124,09010023,8.20,8,,,,,,,7.80,N1
5125,09010024,,7,,,,4.75,7,,,
5126,09010025,,6.25,,,,3.50,3,,,
5127,09010026,5.80,,4,4.75,,,,,,
5128,09010027,7.80,8.75,,,,,9.25,,7,N4
5129,09010028,7.80,,7.50,8.25,,,,,,
5130,09010029,7.60,,3.75,5.25,,,,,,
5131,09010030,,7,,,,5,6.50,,,
5132,09010031,,7,,,,6,9.25,,,
5133,09010032,,7.50,,,,6.25,7.25,,,
5134,09010033,3.80,7.50,,,,8,7.75,,,
5135,09010034,,7.50,,,,9.75,9.50,,,
5136,09010035,,7.50,,,,7.75,9,,,
5137,09010036,2.80,6,,,,,8.50,,2.60,N1
5138,09010037,7.20,6.50,,,,4.25,3.75,7,2.80,N1
5139,09010038,,8.50,,,,7.75,9.75,,,
5140,09010039,,4,,,,5,4.75,,,
5141,09010040,8,7,5.50,,,,,,,
5142,09010041,8.20,9,,,,,,,5,N1
5143,09010042,,6.25,,,,7.25,7.50,,,
5144,09010043,7.40,8.25,,,,5,,,5.60,N1
5145,09010044,,3.50,,,,5.25,5.50,,,
5146,09010045,,5,,,,5.50,5.75,,,
5147,09010046,,6.50,,,,4.25,6.25,,,
5148,09010047,,3.50,,,,6.75,7.25,,,
5149,09010048,,8.50,,,,,,,,
5150,09010049,7.60,7.75,,,,,,9.25,5.20,N1
5151,09010050,7,7.25,,,,,,,6.20,N1
5152,09010052,6.60,9,,,,8.50,8.75,,,
5153,09010053,,8.50,,,,9,7.50,9.50,,
5154,09010054,,6.75,,,,5.75,8,,,
5155,09010055,,6,,,,6,6.50,,,
5156,09010056,8.20,,7.25,8.25,1.75,,,,,
5157,09010057,3.40,6.50,,,,7.25,7.50,8.25,,
5158,09010059,,4,,,,5.50,7,,,
5159,09010060,,7.50,,,,6,7,,,
5160,09010061,5,8,,,,7.50,7.75,,,
5161,09010062,1.60,4.50,,,,2.75,4.25,,,
5162,09010063,4.40,6.75,,,,5.75,8.25,,,
5163,09010065,,8,,,,7.75,9.25,,,
5164,09010066,,8,,,,8.25,8.50,,,
5165,09010067,,7.25,,,,9,9,,,
5166,09010068,3.80,5.75,,,,5.75,6.25,,,
5167,09010069,,7.75,,,,8.50,8.75,,,
5168,09010070,,7.75,,,,5.50,8.25,8.50,,
5169,09010071,7,,2.75,3.50,,,,,,
5170,09010072,6,7.75,,2.25,4.25,,,,3.20,N1
5171,09010073,7.60,8.50,,,,,,,7.60,N1
5172,09010074,,7.75,,,,5.25,7,,,
5173,09010075,2,5.25,,,,3.75,,,2.40,N1
5174,09010076,,5.75,,,,5,5.75,,,
5175,09010077,,2.75,,,,4,4.25,,,
5176,09010078,,5,,,,5,6,,,
5177,09010079,,5.50,,,,4.25,5.50,,,
5178,09010080,8.20,,6.50,4.25,5.75,,,,6.80,N1
5179,09010081,,4,,,,3.75,5.75,,,
5180,09010082,,5.50,,,,4.50,5.75,,,
5181,09010083,4.60,8.50,,,,8.75,9.50,5.50,,
5182,09010084,4,6.50,,,,6.50,7,8.50,4,N1
5183,09010085,,3.25,,,,5.25,7.25,,,
5184,09010086,3,7.25,,,,9.25,8.75,,4,N1
5185,09010087,,0.75,,,,4.50,5,,,
5186,09010088,7.20,8.75,,,,9,8.50,,5.20,N1
5187,09010090,,3.75,,,,4,6,,,
5188,09010091,,5,,,,5.75,6.75,,,
5189,09010092,4.80,,3,,,,,,3.60,N1
5190,09010093,,3.75,,,,5.50,5.50,,,
5191,09010094,,2.50,,,,3.25,5,,,
5192,09010095,,1.25,,,,2,3.50,,,
5193,09010096,7.40,,6.50,,,,,,7.80,N1
5194,09010097,,4,,,,5.25,8,,,
5195,09010098,,6.25,,,,6.50,8.75,,,
5196,09010099,,8.50,,,,8.50,9.25,,,
5197,09010100,6.80,7.50,,,,,,8.75,7.40,N1
5198,09010102,,8.25,,,,8.75,9.25,8.75,,
5199,09010103,,7,,,,7.25,8.75,,,
5200,09010104,4.20,6.50,,,,9.75,9,9,,
5201,09010105,,7.50,,,,9,9.25,,,
5202,09010106,,8.50,,,,7.75,8.25,,,
5203,09010107,,7.50,,,,8.75,,9.50,,
5204,09010108,8,8,6.25,,,,,,6,N1
5205,10009618,,6,,,,5.25,7.75,8,,
5206,10009619,6.60,,6.25,5,,,,,,
5207,10009620,8.60,,6.75,8,,,,,,
5208,10009621,8.20,6.25,7.25,5.75,,,,,,
5209,10009622,6.40,,5.75,2.50,,,,,,
5210,10009623,,7.25,,,,9,9.50,,,
5211,10009624,,2.25,,,,6.75,7,8.75,,
5212,10009625,7.60,,,8.75,6.25,,,,,
5213,10009626,2.40,2,,,,2.50,3.25,,,
5214,10009627,,8.50,,,,7.50,8.75,8.50,2.80,N1
5215,10009628,3.40,3,,,,2.75,2.50,,,
5216,10009629,6.40,7,,,,,,,3.60,N1
5217,10009630,6.80,,8.25,8.25,,,,,,
5218,10009631,7.80,8.25,,,,,,,7,N4
5219,10009632,,6.75,,,,8.25,8.50,,,
5220,10009633,,6,,,,7.75,8,,,
5221,10009635,2,1.25,,,,3.25,2,4.25,3.40,N1
5222,10009636,7.80,,7.25,7.50,,,,,,
5223,10009637,3.60,7.50,,,,6.50,9,,,
5224,10009638,,8.75,,,,9.25,9.25,,,
5225,10009639,,6.75,,,,4,6.75,7.25,,
5226,10009640,8.40,8.75,,,,,,,6.60,N1
5227,10009642,,6,,,,5.75,6.50,,,
5228,10009643,5,7,,,,6.50,,,,
5229,10009644,6,7.50,,,,7.75,8.25,8.50,,
5230,10009645,,6,,,,9.25,9.25,,,
5231,10009646,7.40,,7.75,7.75,,,,,,
5232,10009647,3.20,5.50,,,,3.75,5,5.50,,
5233,10009648,4.40,6.75,,,,5.75,,,,
5234,10009649,,5.50,,,,6.75,6.25,8,,
5235,10009650,,7,,,,,,,,
5236,10009652,7.40,8.50,,,,,,,5.60,N1
5237,10009653,,4.25,,,,6.75,5.50,,,
5238,10009654,6.60,6.50,,,,,,,5.60,N1
5239,10009655,,7.75,,,,7.50,,,8.40,N1
5240,10009656,,1.75,,,,2,4.50,6,,
5241,10009657,8.20,,8.25,6.75,5.50,,,,5,N1
5242,10009658,8,,5.75,7,,,,,,
5243,10009659,,2.50,,,,3.25,6.50,7.75,,
5244,10009660,,7,,,,7.75,7.75,9,,
5245,10009661,6.80,,4.75,3.75,,,,,,
5246,10009662,2.40,2.50,,,,3.50,,,,
5247,10009663,,7.50,,,,9.50,,9.50,,
5248,10009664,,8.50,,,,9.25,10,8.25,,
5249,10009665,8.40,8.75,6.50,,,,,,3.40,N1
5250,10009666,7.80,,6.25,3.75,,,,,6,N1
5251,10009667,,8.75,,,,7,7.75,8.25,,
5252,10009669,6.60,8.50,,,,,,,5.20,N1
5253,10009670,7.80,7.25,7.50,7.75,,,,,,
5254,10009672,6.60,,6.25,6,,,,,3.40,N1
5255,10009673,,3.25,,,,5.75,5.25,7.50,,
5256,10009674,,8,,,,9.50,8.75,,,
5257,10009675,3.40,7,,,,7.25,6.25,,,
5258,10009676,,7,,,,8.75,8.25,,,
5259,10009677,6.80,,,4.25,7.25,,,,,
5260,10009678,7.60,8,,,,6.50,,,6.40,N1
5261,10009679,,3.25,,,,5.75,7.50,,,
5262,10009680,,3,,,,5.25,4.50,6,,
5263,10009681,7.20,8.50,,,,7.75,8.75,,5.60,N1
5264,10009682,7.80,,7.50,8,,,,,,
5265,10009683,2.40,3.50,,,,4.75,5.25,4.25,,
5266,10009684,6.60,7.25,,,,7.75,8,,,
5267,10009685,,5.50,,,,4.25,4.25,7.25,,
5268,10009686,6.60,,6.25,4.25,,,,,,
5269,10009687,,7.25,,,,9.25,8.25,6.50,,
5270,10009688,,5,,,,8.25,8,8.75,,
5271,10009689,,7.25,,,,4.25,6,8.25,,
5272,10009690,,5.50,,,,5.75,3.50,,,
5273,10009691,,7.75,,,,9.25,9.25,9,,
5274,10009692,7.80,6.75,,,,6,6.75,,,
5275,10009693,8.40,,6.75,7,,,,,,
5276,10009694,7.60,,5.50,4.75,,,,,,
5277,10009695,2.60,2.50,,,,3.25,3,,,
5278,10009696,,6.25,,,,9.25,8.25,9.25,,
5279,10009697,6.40,8.50,,,,4.50,7.25,,,
5280,10009698,5.60,6,,,,4.25,6.25,,,
5281,10009699,7.40,7.25,,,,,,,4.60,N1
5282,10009701,7.60,,6,5.50,,,,,,
5283,10009702,,5.75,,,,8,8.50,8.25,,
5284,10009703,8.80,7,,,,,,,7.80,N1
5285,10009704,,7.25,,,,9.25,7.75,,,
5286,10009705,,5.75,,,,7.75,8.50,9.25,,
5287,10009706,,3.25,,,,4.75,6,,,
5288,10009707,7.20,,6.75,6,,,,,,
5289,10009708,8.20,,7.75,,,,,,5,N1
5290,10009709,6.60,,,3.75,6.25,,,,,
5291,10009711,3.80,5,,,,5.50,8.25,7,,
5292,10009712,,4.25,,,,3.75,7.25,7.25,,
5293,10009713,,8,,,,9.50,8.75,,,
5294,10009714,,8.75,,,,9.75,9,9.50,,
5295,10009715,4.60,6.75,,,,7,6.75,,,
5296,10009716,,6.25,,,,2.50,6.25,6.50,,
5297,10009717,6.20,7.25,,,,,,,4.60,N1
5298,10009718,,8,,,,,,,,
5299,10009719,,7,,,,8.25,9.25,8,,
5300,10009720,3.80,2.75,,,,3,5.25,8,2.20,N1
5301,10009721,,5.50,,,,4.25,7,4.25,,
5302,10009722,,3.75,,,,4.25,3.25,4,,
5303,10009723,,7.50,,,,7,7.75,8,,
5304,10009724,4.80,,4.50,2.25,,,,,,
5305,10009725,8,8,,,,,,,7,N1
5306,10009727,,,,,,5.75,7.75,7.50,,
5307,10009728,,7.75,,,,8.75,9.50,,,
5308,10009729,4,5.75,,,,4.50,8.50,7.75,,
5309,10009730,2.40,3.50,,,,3.50,3.75,,,
5310,10009731,,6.75,,,,6.50,8.50,,,
5311,10009732,,8.25,,,,7.75,7.50,,,
5312,10009733,,6.50,,,,7.75,9.75,9.75,,
5313,10009734,,6.50,,,,5.75,7.50,9,,
5314,10009735,,2.75,,,,5,6,,,
5315,10009736,,8.50,,,,6.75,8.25,8.75,,
5316,10009737,,6.75,,,,8,7,9.50,,
5317,10009739,,6.75,,,,9,9.25,,,
5318,10009740,,8,,,,5.50,9,,,
5319,10009741,,4,,,,7,8,8.25,,
5320,10009742,,8.25,,,,9.75,9.50,,,
5321,10009743,,5,,,,3.25,3.75,,,
5322,10009744,,7.75,,,,9,10,,,
5323,10009745,6.80,7,,,,6.75,2.50,2.25,,
5324,10009746,7,,4.50,5,,,,,,
5325,10009747,2.40,4.75,,,,2.75,5.25,7.50,2.80,N1
5326,10009748,,5,,,,4.25,7.25,8.50,,
5327,10009749,4.40,7.25,,,,7.25,9,,,
5328,10009750,,5.75,,,,4,5.75,,,
5329,10009751,4.80,6.75,,,,5.50,7,8.75,,
5330,10009752,,6.50,,,,9.25,9.50,,,
5331,10009753,,8.75,,,,7.75,9.50,,,
5332,10009754,,3.50,,,,4.25,4.75,,,
5333,10009755,,6.25,,,,3.50,5.75,,,
5334,10009756,,7.50,,,,9,8.50,,,
5335,10009757,,7.25,,,,6.75,9,,,
5336,10009758,8.20,6,,,,6.25,7,,,
5337,10009759,3.60,6,,,,6,7.75,7.75,,
5338,10009760,8.20,6.50,,,,9.50,5.25,8.25,,
5339,10009761,,4.25,,,,6.50,7,8,,
5340,10009762,7,8,,,,,,,7.80,N1
5341,10009763,,6.50,,,,,9.25,8.25,,
5342,10009764,,6,,,,8.25,8.75,,,
5343,10009765,6,8.25,,,,,,,1.80,N1
5344,10009766,,7.25,,,,6.25,8.50,,,
5345,10009767,,7,,,,4,6,,,
5346,10009768,,8,,,,7.75,7.75,,,
5347,10009769,7.60,,,7.50,5.25,,,,,
5348,10009770,7.80,8,,,,8.25,,,7,N1
5349,10009771,,8.25,,,,8.75,8.50,,,
5350,10009772,8,,6.25,5.75,,,,,,
5351,10009773,6.80,,4.75,4,,,,,,
5352,10009774,7.80,,,8,7,,,,,
5353,10009775,,8,,,,,,,,
5354,10009776,,8,,,,7.75,8.50,8.50,4.40,N1
5355,10009777,,3.50,,,,5,8,8.25,,
5356,10009778,8.20,7.50,,,,8,9.50,9,4.40,N1
5357,10009779,,6.50,,,,9.25,8.50,,,
5358,10009780,,,,,,,,,3.20,N1
5359,10009781,7.80,,7.25,5.75,,,,,,
5360,10009782,,6.50,,,,7.75,8.25,,,
5361,10009783,,5.75,,,,5.50,7.50,,,
5362,10009784,3.40,,2,3.75,5,,,,,
5363,10009785,4.60,6.75,,,,6,6.50,,,
5364,10009786,,8.50,,,,9.25,8.50,,,
5365,10009787,6.40,,4.25,3.50,,,,,,
5366,10009788,,7,,,,,,9,,
5367,10009790,,5.25,,,,,8.50,9,,
5368,10009791,,7.50,,,,8.50,9,8.75,,
5369,10009793,7.80,7.25,,,,,,,7,N4
5370,10009794,,7.50,,,,5.25,5.75,8.25,,
5371,10009795,6.40,6.50,,,,,,,4.80,N1
5372,10009796,9.20,,8,7,,,,,,
5373,10009797,7.20,8.25,,,,,,,3,N1
5374,10009798,7.80,,7.50,5.25,,,,,,
5375,10009799,6.80,6,,,,,8.25,,2.60,N1
5376,10009800,,6.50,,,,8,7,8.25,,
5377,10009801,,7.50,,,,7,9,,,
5378,10009802,7,,6.75,6,,,,,,
5379,10009803,,7.75,,,,6.75,8,,,
5380,10009804,4.60,,,6,5,,,,,
5381,10009805,8.20,7.50,,,,,,,3.60,N1
5382,10009806,8.40,7,7.50,4,5,,,,7.20,N1
5383,10009807,,5.50,,,,5.75,7.25,,,
5384,10009808,8.20,8.50,,,,,,,7.20,N1
5385,10009809,,8,,,,8.25,9.25,,,
5386,10009810,5.80,4.50,,,,5,6.50,7.25,,
5387,10009811,8.80,,6.75,7.75,,,,,,
5388,10009812,,5.25,,,,7,5.75,8.75,,
5389,10009813,8.60,,3.50,5,7.25,,,,,
5390,10009814,6.60,7.25,,,,,7.50,9,4,N1
5391,10009815,7.80,7,7.25,6.25,,,,,4.60,N1
5392,10009816,,6,,,,7.75,7.50,,,
5393,10009817,6.40,6.50,,,,6.25,,,,
5394,10009818,6.40,5.25,,,,6,,,3.60,N1
5395,10009819,,6,,,,8,8.25,,,
5396,10009820,8.20,8,,,,9.50,8.50,,,
5397,10009821,1.80,3,,,,3.25,1.75,,,
5398,10009822,8,7.50,,,,,,,5.40,N1
5399,10009823,7.60,9,,,,,,,7.20,N1
5400,10009824,6.80,8.25,,,,9.25,8.75,9.75,,
5401,10009825,8.40,,5.75,,,,,,5.60,N1
5402,10009826,2.40,5,,,,5.25,7.75,8,,
5403,10009827,1.80,3,,,,5.25,6.50,,,
5404,10009828,8,8.75,,,,9.50,8,,5.80,N1
5405,10009829,,6.50,,,,9.50,9.50,,,
5406,10009830,6.80,4.25,,,,5.50,8.75,,,
5407,10009831,5,,3.50,3.75,,,,,,
5408,10009833,7.80,,6.50,7.50,,,,,,
5409,10009834,7.40,8.75,,,,8.50,8.75,8,,
5410,10009835,5,6.50,,,,,,9.50,6.20,N1
5411,10009836,,7,,,,9.25,9.50,9.25,,
5412,10009838,,3,,,,5.75,7.25,,,
5413,10009839,,6.25,,,,9,9.75,,,
5414,10009840,8,,7.50,7.75,,,,,,
5415,10009841,,8.50,,,,9.75,9.50,,,
5416,10009842,,7.75,,,,4.75,8,,,
5417,10009843,8,,7.50,,,,,,7.60,N1
5418,10009844,,7.50,,,,9.50,9,8.75,,
5419,10009845,,6.25,,,,8.50,10,,,
5420,10009846,4,6.25,,,,8,7,5.50,,
5421,10009847,,6.50,,,,5.25,6,,3.20,N1
5422,10009848,4.20,,,3.50,4,,,,,
5423,10009849,7.40,8.25,,,,,,,6,N1
5424,10009850,5.80,7.50,,,,5.75,,,,
5425,10009851,5.80,7.25,,,,,,,7,N4
5426,10009852,7,7.25,,,,,,,6.60,N1
5427,10009853,6.80,,8,6,,,,,,
5428,10009854,7.80,,6,7,,,,,,
5429,10009856,8.60,8,,,,,,,3.80,N1
5430,10009857,7.60,8.50,,,,8.50,9.75,8.50,,
5431,10009858,5.80,6,,,,5,8.25,,,
5432,10009859,7.40,7.75,,,,7.50,8.25,7.50,,
5433,10009860,4.60,7.25,,,,7.25,7.25,,3.80,N1
5434,10009862,8.20,7.75,4.50,9,6.75,,,,7.60,N1
5435,10009863,6.20,8.75,,,,6,,,8.60,N4
5436,10009864,,6.75,,,,7.50,8,,,
5437,10009865,3.60,3,,,,3.75,5,,,
5438,10009866,3.60,3.50,,,,1.50,3.50,,,
5439,10009867,,3.25,,,,4.75,7.75,8.75,,
5440,10009868,7.60,,6.50,6.25,,,,,,
5441,10009869,7.20,,6,4.25,,,,,,
5442,10009870,,4.75,,,,5.75,6.75,7.50,,
5443,10009871,8.40,,,8.25,7.75,,,,,
5444,10009872,,8,,,,9.50,8.50,,,
5445,10009873,5.20,6.25,,,,3.75,,,,
5446,10009874,,8,,,,,7.75,10,,
5447,10009875,6.80,,,5.25,6.25,,,,,
5448,10009876,,7,,,,9,,,8.40,N1
5449,10009878,8.40,,8,8,,,,,8.20,N1
5450,10009879,,8,,,,,,,,
5451,10009880,,4,,,,6.25,7,6.75,,
5452,10009881,8.80,7.50,,,,,,,8.60,N4
5453,10009882,,4,,,,8.25,8.25,9,,
5454,10009883,,7.25,,,,9.25,8,,,
5455,10009884,7.60,7.50,,,,9,,,4.60,N1
5456,10009885,,8,,,,9.75,9,,,
5457,10009886,8,7.75,7.75,2.25,,,,,6.80,N1
5458,10009887,,7.50,,,,10,9.25,,,
5459,10009888,,8,,,,8.25,9.25,,,
5460,10009889,3.60,7,,,,8.50,9,,,
5461,10009890,,6.75,,,,8,9,10,,
5462,10009891,8.40,7.75,,,,,,,6.60,N1
5463,10009892,3.60,5.50,,,,7,7.25,,,
5464,10009893,,7.25,,,,10,10,,,
5465,10009894,4.20,,2.25,,,,,,2.20,N1
5466,10009895,7.80,,7.25,6.75,,,,,,
5467,10009896,1.60,3.50,,,,5.50,5.50,7.25,,
5468,10009897,7.60,6.50,,,,7.50,8.25,,,
5469,10009899,,4.50,,,,4,7,,,
5470,10009900,8.20,,7.25,8.75,,,,,,
5471,10009901,,5.50,,,,4,6.25,7.50,,
5472,10009902,4.40,7.25,,,,8.75,8.75,,,
5473,10009903,,7.50,,,,5.75,8.75,,,
5474,10009904,,7.50,,,,5.50,8,8.50,,
5475,10009905,8.80,,7.50,5.75,,,,,3.60,N1
5476,10009906,,5.25,,,,3.75,5.50,,,
5477,10009907,7,7.50,,,,,,,7.20,N1
5478,10009908,6.20,6,3.75,,,,,,,
5479,10009909,,7,,,,9.75,9.75,,,
5480,10009910,,5.25,,,,3,6.50,7.50,,
5481,10009911,,3.75,,,,5.75,6.25,7,,
5482,10009912,,4.25,,,,4.25,3.50,5.75,,
5483,10009913,,5,,,,6.25,7,,,
5484,10009914,,5.75,,,,5,7.25,,,
5485,10009915,,,,,,5,6.50,8.75,,
5486,10009916,7,,8.75,,,,,,5.40,N1
5487,10009917,7.20,6.75,,,,,,,8.60,N4
5488,10009918,,8.50,,,,8.25,8.25,,,
5489,10009919,8.80,,8.25,8,,,,,,
5490,10009920,7.20,8,,,,,,,6,N1
5491,10009921,6.80,,4,4,,,,,5.60,N1
5492,10009922,5.60,8,,,,8,,,,
5493,10009924,,7.75,,,,,,,,
5494,10009925,2.20,8,,,,5.50,,,,
5495,10009926,3.80,,,2.50,3.25,,,,,
5496,10009927,,6.75,,,,6,8.50,4.25,,
5497,10009928,7.60,6.25,,,,9,8.25,,,
5498,10009929,,7.50,,,,7.50,8.25,,,
5499,10009930,,6.75,,,,9.25,8.50,,,
5500,10009931,,5,,,,9.25,8.25,9,,
5501,10009932,3,2,,,,2.25,4.50,6,3.40,N1
5502,10009933,0.60,5.25,,,,4.50,3.75,,,
5503,10009934,2.20,3.25,,,,3.25,4.50,5.75,,
5504,10009935,8.20,,7.75,8,,,,,,
5505,10009936,,3.75,,,,6,7,,,
5506,10009938,8.80,,9,8.75,,,,,,
5507,10009939,,8,,,,8,8,,,
5508,10009940,8,7.75,7,8.25,,,,,4.60,N1
5509,10009941,,8,,,,9,8.75,7.75,,
5510,10009942,8.80,,8.75,8,,,,,,
5511,10009943,,8,,,,7.50,9.50,,,
5512,10009944,7.20,7,,,,,,,5,N1
5513,10009945,7.80,,6.50,6.75,,,,,,
5514,10009946,,8.50,,,,9.50,9.50,,,
5515,10009947,6.40,,,6,6,,,,,
5516,10009948,,7.50,,,,8,8.50,,,
5517,10009949,,7.25,,,,8.25,8.75,9.25,,
5518,10009950,,5.75,,,,6.50,8,9.50,,
5519,10009951,2.20,4,,,,4.50,5,,2,N1
5520,10009952,8.40,7.75,,,,,,,6.60,N1
5521,10009953,9,,9.25,9.50,4.50,,,,,
5522,10009954,,3.25,,,,5.50,7.25,6.50,,
5523,10009955,2.80,3.25,,,,,,,2.60,N1
5524,10009956,3.60,6.50,,,,5.75,8.25,,,
5525,10009957,7.60,5,,,,6.50,7.25,7,,
5526,10009958,,5.25,,,,4.50,7,8.75,,
5527,10009959,,3.75,,,,4.50,7.25,,,
5528,10009960,5.20,6.50,4.50,,,,,,6,N1
5529,10009961,,7.75,,,,,,,,
5530,10009962,,2,,,,6.75,8,8.75,,
5531,10009963,3.60,,3.25,,,,,,4.40,N1
5532,10009964,5.20,8.50,,,,8,7.50,,,
5533,10009965,3,4.75,,,,1.50,,,,
5534,10009967,,6,,,,6.75,8.75,7.25,,
5535,10009968,,5.75,,,,7.50,7.50,6.75,,
5536,10009969,,3.50,,,,3.75,3,6.50,,
5537,10009970,,7,,,,7.25,7.75,,,
5538,10009971,,9,,,,8.75,8.75,,,
5539,10009972,3,5,,,,5,,,,
5540,10009973,4.20,6,,,,,,,3,N1
5541,10009974,9.40,,9,8.75,,,,,,
5542,10009976,,4.50,,,,4.50,7.25,8.25,,
5543,10009977,,5.50,,,,4.75,4.25,7.25,,
5544,10009978,8,,6.25,8.25,,,,,,
5545,10009979,6.40,,5.25,3,3.50,,,,,
5546,10009980,,5.75,,,,5.50,4.50,8.25,,
5547,10009981,6,7,,,,8.25,8.25,,4,N1
5548,10009982,8.60,,,,,,,,,
5549,10009983,3,6,,,,6.25,,,,
5550,10009984,,4.25,,,,6.75,8,7.25,,
5551,10009985,5.40,7,,,,,,,3.40,N1
5552,10009986,4.60,8.50,,,,9.50,8.75,8.25,3,N1
5553,10009987,2.20,2.25,,,,3.50,4,,,
5554,11003125,8.40,8.50,,,,9.75,9.50,,,
