STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
169,01018169,8,,5.50,,,,,,8.20,N1
170,01018170,8,,6.75,7,,,,,,
171,01018171,,7.25,,,,6.50,8.50,8.25,,
172,01018172,8.80,7,7.50,7.50,,,,,,
173,01018173,,6.75,,,,,,,,
174,01018174,,7.50,,,,5.75,7,,,
175,01018176,8.20,8.50,,,,6.50,8,,5.60,N1
176,01018177,,6,,,,6.25,7,7.50,,
177,01018178,8.20,8.75,,,,,,,8.20,N1
178,01018180,,9.25,,,,,,,,
179,01018181,8.40,9.25,,,,,,,8.60,N1
180,01018182,,6.75,,,,8,6.75,,,
181,01018183,7,8.75,,,,9.25,8.75,,,
182,01018184,,,,,,,,,8.40,N1
183,01018185,,8.50,,,,5.50,7.50,,,
184,01018186,,9.25,,,,9,8.75,,,
185,01018188,,8,,,,5.50,8,,,
186,01018189,8.20,9.25,,,,,,,6.60,N1
187,01018190,,6.50,,,,4.50,6.75,6.50,,
188,01018191,,8.75,,,,,,,,
189,01018192,3.20,7.75,,,,8.50,8.75,8.50,,
190,01018195,3,7.50,,,,8.75,9.25,9.50,,
191,01018196,,6.25,,,,3.75,3.25,,,
192,01018197,3.20,6.50,,,,7,6.25,7.75,5.20,N1
193,01018199,4.80,6,,,,8.25,6,8.25,6.40,N1
194,01018200,,5.75,,,,6.25,6,,,
195,01018201,7.80,9.50,,,,9,,,,
196,01018202,,9.50,,,,8.50,8.75,,6.40,N1
197,01018203,7.40,8.25,,,,,,,6.80,N1
198,01018204,7.80,8.50,,,,,,,5.60,N1
199,01018205,3.60,5,,,,4,6,7,1.80,N1
200,01018206,8.40,8.50,3.75,,,,,,7,N1
201,01018207,5.20,8.25,,,,4.50,3,6.25,5.60,N1
202,01018208,7.80,8.25,,,,,,,5.40,N1
203,01018209,,8,,,,,,,,
204,01018210,,7.25,,,,8.25,8,,,
205,01018211,6.60,8.25,,,,,,,4.60,N1
206,01018212,7,9.25,,,,10,8.75,8.50,5.60,N1
207,01018213,3.60,4,,,,3.25,5.25,,,
208,01018214,,9.50,,,,7.50,8.75,,,
209,01018215,8.60,,5.25,9,9,,,,6.80,N1
210,01018217,2.60,5,,,,4.75,4,,,
211,01018218,,6.50,,,,5.50,8.25,,,
212,01018219,8.20,7,8.75,7.25,5,,,,4.20,N1
213,01018220,8.80,,7.50,8.75,4,,,,,
214,01018221,,,,,,6.50,8.25,8.75,6.80,N1
215,01018222,8,7.50,6.25,3,3,,,,7.20,N1
216,01018223,,5.75,,,,4,5.25,7.75,,
217,01018224,,4,,,,7.50,8.50,8.75,,
218,01018225,,3.50,,,,2.50,2.75,,,
219,01018226,,4.25,,,,6.75,6.75,7,,
220,01018227,7,,5.25,7,,,,,,
221,01018228,,7.25,,,,5,6.25,7.50,,
222,01018229,,7.75,,,,5,7.25,7,,
223,01018230,7,6.25,,,,4.75,6.50,7.50,7.40,N1
224,01018231,,8.75,,,,8.50,9.25,,,
225,01018232,6.20,7,,,,,5.25,8,,
226,01018234,7.80,6.50,,,,,,,5.60,N1
227,01018235,,6.50,,,,7,7,8.25,,
228,01018236,,5.75,,,,7,8,,,
229,01018237,7.60,,6.50,,,,,,8,N1
230,01018238,5.40,7,,,,6.25,3.50,7.25,,
231,01018239,6.40,3.75,,,,,,,6.60,N1
232,01018240,8.20,7.25,,,,6,7.25,7.75,4.80,N1
233,01018241,,6.50,,,,4.75,6.25,,,
234,01018242,,8,,,,7,6.50,,,
235,01018243,,6.75,,,,7,8,,,
236,01018244,6,3.50,4,2.50,2.50,,,,,
237,01018245,7.80,,,6.75,7,,,,,
238,01018246,6.20,8,,,,,,,5,N1
239,01018247,5.60,6.25,,,,5,6.25,7.75,3.60,N1
240,01018248,,4.25,,,,5.25,7.25,,,
241,01018249,6.80,,5,,,,,,4.80,N1
242,01018250,,5.75,,,,6,4,,,
243,01018251,8.60,,8.25,,,,,,6,N1
244,01018252,,7.25,,,,7.25,7,,,
245,01018254,9.20,,9.75,,,,,,8.40,N1
246,01018255,,7,,,,7,7,8,,
247,01018256,7.80,,,4.50,7.50,,,,,
248,01018257,,9,,,,8.50,9.25,8.75,,
249,01018258,,6.25,,,,3.75,5.50,,,
250,01018259,8.80,,,9,9.25,,,,,
251,01018260,,5,,,,6.25,7.25,,,
252,01018261,7.40,7.75,,,,8,,,,
253,01018262,6.40,,3.50,2.50,4,,,,6.80,N1
254,01018263,,6,,,,5.50,6,,,
255,01018264,,7.75,,,,7.50,7.25,,,
256,01018265,,6.50,,,,5.50,7,8.50,,
257,01018266,3.40,3.75,,,,2.25,2.25,7.50,2.40,N1
258,01018267,,5.25,,,,6,6.25,,,
259,01018268,,7,,,,5.75,6.75,6.75,,
260,01018269,,8.25,,,,5.25,6.75,,,
261,01018270,,,,,,,,,2.60,N1
262,01018271,7,7.25,,,,,,,6.60,N1
263,01018272,,8,,,,6.25,7.50,,,
264,01018273,,2.25,,,,6,6.75,6.25,,
265,01018275,8.20,9.25,,,,,,,6.80,N1
266,01018276,8.60,9.50,,,,,,,7.80,N1
267,01018277,7.20,7.50,,,,,,,3.80,N1
268,01018278,9.20,9.50,,,,5,6.50,8.75,8.80,N1
269,01018279,7.80,8.25,,,,8,,,7.20,N1
270,01018280,6.80,8.75,,,,,,,8,N1
271,01018281,4.20,7.75,,,,4.25,1.75,,,
272,01018282,8,7,,,,6.50,6.50,9.25,,
273,01018284,,5.75,,,,4.25,6.25,6.75,,
274,01018285,8.60,,8.25,,,,,,8.60,N1
275,01018286,8.20,8.25,,,,,,,9.20,N1
276,01018287,,8.75,,,,9.50,9.50,,,
277,01018288,6.20,9.25,,,,,,,6,N1
278,01018290,,8.50,,,,9,7.50,,,
279,01018291,,8.50,,,,,,,,
280,01018292,8.60,,,9,8.25,,,,,
281,01018294,,5,,,,6.50,7.25,,,
282,01018295,4,6.50,,,,6.50,7.25,,,
283,01018296,3,5,,,,3.75,4.50,5.50,,
284,01018297,6.60,8,,,,,,,9,N1
285,01018299,,4.75,,,,5.75,5.25,,,
286,01018300,,9.25,,,,,,,,
287,01018302,7,,6.25,3.25,5.50,,,,,
288,01018303,,5.25,,,,3.25,6.50,,,
289,01018304,,6,,,,,,,,
290,01018305,7.60,9.25,,,,6,,,,
291,01018307,6,,4,2.50,,,,,,
292,01018308,,7.50,,,,,,,,
293,01018309,,5.25,,,,4,6.75,,,
294,01018310,8.20,8,,,,9,,,,
295,01018311,7.80,7,,,,,,,5.40,N1
296,01018312,,5,,,,4.50,6.50,,,
297,01018313,7.60,,8,5.25,7.50,,,,8.20,N1
298,01018314,,6.25,,,,6,6.50,,,
299,01018315,8.60,6.50,9,1.75,4.50,,,,7.80,N1
300,01018316,8.20,,5.25,9.25,2.75,,,,7.80,N1
301,01018317,,6.75,,,,4,6.50,6.50,,
302,01018318,4.40,,3.50,3.25,,,,,,
303,01018319,,6.50,,,,6.50,8.25,7.50,,
304,01018320,,8.25,,,,7.50,8.50,8.25,6.60,N1
305,01018321,5.80,8.25,,,,,,,6.20,N1
306,01018323,,7.50,,,,6,7.50,,,
307,01018324,8,7.50,,,,,,,8.20,N1
308,01018325,,6,,,,7,6,7.25,,
309,01018326,4.80,4.75,,,,5,6,8.25,4.40,N1
310,01018327,6,7.75,,,,7.50,,,,
311,01018329,,7.25,,,,6.25,8.25,8,,
312,01018330,7.20,9,7.50,,,,,,5.40,N1
313,01018331,8.60,9,,,,8.75,,,8.40,N1
314,01018332,6,8.50,,,,,8.50,,5,N1
315,01018333,8,6.75,7.75,,,,,,8.20,N1
316,01018335,,6.25,,,,4.25,8.25,,,
317,01018336,8.20,7.50,,5.50,,,,,7.20,N1
318,01018337,,6.75,,,,5.50,7.75,8.75,,
319,01018338,,7.25,,,,9,9.75,9.75,,
320,01018339,7.80,7.75,,,,7.75,7.25,,,
321,01018340,,6,,,,6,6,,,
322,01018341,7.80,8.50,,,,,,,6.40,N1
323,01018342,4,5.75,,,,4.50,4,8,2.80,N1
324,01018343,,9,,,,8.75,7.75,,,
325,01018344,,9.25,,,,8.50,7.25,,,
326,01018345,7.20,6.25,,,,,,,6,N1
327,01018346,7.80,8.50,,,,,,,7,N1
328,01018347,7.60,9,,,,7.75,6.50,,6.20,N1
329,01018348,7.40,8.75,,,,,,,7.80,N1
330,01018349,,7.25,,,,9,9.25,,,
331,01018351,8,8.75,,,,4.75,,,6,N1
332,01018352,6.80,9,,,,,,,6.60,N1
333,01018354,7.60,9.25,,,,,,,6,N1
334,01018355,,9.25,,,,8.75,8.25,,,
335,01018356,,8.25,,,,7.50,8.25,,,
336,01018357,8.60,9,,,,9.50,8.50,,,
337,01018358,8.60,,6.75,,,,,,5.80,N1
338,01018359,7,7.75,,,,4.50,8.50,8.25,5.80,N1
339,01018360,7,8.25,,,,4.25,4.75,6.75,7.80,N1
340,01018361,6.20,7.50,,,,4.50,7.50,7.75,9,N1
341,01018362,5,7,,,,7,9.25,8.75,,
342,01018363,,8,,,,7.75,8,9.75,5.60,N1
343,01018364,,8,,,,8.50,7.50,8.50,6.80,N1
344,01018365,8.40,9,,,,,,,6.80,N1
345,01018366,,8.75,,,,6.75,7.50,,7.20,N1
346,01018368,8.20,8.75,,,,,,,7,N1
347,01018369,6.80,,,7,4.75,,,,,
348,01018371,7.20,8.75,,,,,,,7.40,N1
349,01018372,,8,,,,6,7.75,,,
350,01018373,,7.50,,,,8.50,8.75,9.50,,
351,01018374,8,9.50,,,,,,,8,N1
352,01018375,,8.25,,,,4.25,4.75,,,
353,01018376,,4.75,,,,4.50,6,7.50,,
354,01018377,8.20,,5.50,,,,,,6.20,N1
355,01018379,,8.25,,,,9,9.50,,,
356,01018381,,5,,,,5.75,7.25,,,
357,01018382,,7,,,,8,8,,,
358,01018383,,7.25,,,,7.75,6.50,,,
359,01018385,7.80,6.75,,,,8.75,8.50,,,
360,01018386,,7,,,,3.75,5.50,,,
361,01018387,3.40,7.50,,,,8,6.75,8.25,,
362,01018388,,5,,,,4,5.25,,,
363,01018389,,4.50,,,,4.75,4.75,8,,
364,01018390,6.60,7.25,,,,6.25,7.75,,7,N1
365,01018391,,9,,,,8.50,9.25,,,
366,01018392,8.80,,3.50,6,,,,,6.80,N1
367,01018393,7,9.50,,,,,,,6.20,N1
368,01018394,4.80,9,,,,,,,4.40,N1
369,01018395,7.80,,6.25,6.50,,,,,,
370,01018396,8.20,9.25,8.25,,,,,,6.80,N1
371,01018397,7.60,,,4,,,,,4.20,N1
372,01018398,8.60,8.50,,,,,,,7.60,N1
373,01018399,4,7,,,,5.25,8,,,
